Sample nb,0,2,3,4,5,6,7,8,9,10,11,12,13
Nb attempts,1.0,7.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0
Accuracy first detection,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
