Sample nb,0,2,3,4,5,6,7,8,9
Nb attempts,5.0,11.0,1.0,4.0,2.0,1.0,1.0,11.0,4.0
Accuracy first detection,0.8,0.9090909090909092,1.0,1.0,0.5,1.0,1.0,0.9090909090909092,1.0
