Sample nb,0,2,3,4,5,6,7,8,9
Nb attempts,1.0,4.0,7.0,1.0,16.0,7.0,1.0,3.0,4.0
Accuracy first detection,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.75
